#,Territorio,Padron2024,Ratificado,Pendiente,Verificados,Nuevos,Padron2025,Porcentaje
1,Bajos de Haina,30431,13340,13218,606,383,14329,0.4709
2,El Carril (DM),8518,3821,2767,373,279,4473,0.5251
3,Quita Sueño (DM),6808,2809,2863,157,163,3129,0.4596
4,Cambita el Pueblecito (DM),3645,1945,1084,185,49,2179,0.5978
5,Cambita Garabitos,7730,3987,2678,49,62,4098,0.5301
6,Los Cacaos,2809,1554,421,35,61,1650,0.5874
7,Sabana Grande de Palenque,5442,2621,2321,141,63,2825,0.5191
8,Hatillo (DM),9143,3696,3465,522,418,4636,0.5071
9,Hato Damas (DM),4869,2347,1987,73,94,2514,0.5163
10,San Cristóbal,66715,27274,26093,1701,1455,30430,0.4561
11,San Gregorio de Nigua,11539,5641,1953,294,327,6262,0.5427
12,La Cuchilla (DM),3063,1384,972,41,70,1495,0.4881
13,Medina (DM),1991,874,552,28,119,1021,0.5128
14,San José – Pino Herrado – El Puerto (DM),3699,1810,738,205,224,2239,0.6053
15,Villa Altagracia,13694,4904,5627,571,594,6069,0.4432
16,Doña Ana (DM),3910,1872,1026,157,149,2178,0.5570
17,Yaguate,8144,3796,1609,415,530,4741,0.5821
